County ,State,Crime Rate,lat,lon
Abilene,TX,2422.8,32.454,-99.734
Akron,OH,2424.2,41.081,-81.519
Albany,GA,4105.7,31.578,-84.156
Albany-Lebanon,OR,2277.8,44.556,-123.061
Albany-Schenectady-Troy,NY,2004,42.757,-73.780
Albuquerque,NM,1043.4,35.084,-106.650
Alexandria,LA,5387.9,-33.891,151.214
Altoona,PA,1573.5,40.516,-78.401
Amarillo,TX,3819.9,35.207,-101.832
Ames,IA,1595.9,42.027,-93.617
Anchorage,AK,5513.6,61.1508,-149.1091
Ann Arbor,MI,2005.3,42.268,-83.731
Appleton,WI,1252.9,44.261,-88.407
Asheville,NC,3079.2,35.595,-82.553
Atlantic City-Hammonton,NJ,2655.2,39.629,-74.851
Augusta-Richmond County,GA,2839.9,33.471,-81.975
Austin-Round Rock-Georgetown,TX,2697.1,30.633,-97.677
Bakersfield,CA,3923.8,35.374,-119.019
Baltimore-Columbia-Towson,MD,3057.2,39.228,-76.638
Bangor,ME,1601.4,,
Barnstable Town,MA,1280.6,,
Baton Rouge,LA,3871,,
Battle Creek,MI,624,,
Bay City,MI,1638.5,,
Beaumont-Port Arthur,TX,2734.5,,
Bellingham,WA,2321,,
Bend,OR,2086.7,,
Billings,MT,3012.4,,
Binghamton,NY,2294.8,,
Bismarck,ND,2620.5,,
Blacksburg-Christiansburg,VA,1848.3,,
Bloomington,IL,1737,,
Boise City,ID,1493.5,,
Boston-Cambridge-Newton,MA,277.7,,
Boston,MA,396.3,,
Cambridge-Newton-Framingham,MA,1147.3,,
Rockingham County-Strafford County,NH,1179.1,,
Boulder,CO,2717.9,40.0925,-105.3577
Bowling Green,KY,2490.8,,
Bremerton-Silverdale-Port Orchard,WA,2249.5,,
Bridgeport-Stamford-Norwalk,CT,1382.6,,
Brownsville-Harlingen,TX,2904,,
Buffalo-Cheektowaga,NY,2222.7,,
Burlington,NC,3047.3,,
Burlington-South Burlington,VT,1910.2,,
California-Lexington Park,MD,1868.2,,
Canton-Massillon,OH,2561.9,,
Cape Coral-Fort Myers,FL,1415.7,,
Cape Girardeau,MO,2508.8,37.3840,-89.6845
Carson City,NV,1629.1,39.1511,-119.7476
Casper,WY,2758.9,,
Cedar Rapids,IA,2229.4,,
Champaign-Urbana,IL,2476.2,,
Charleston-North Charleston,SC,3076.8,,
Charlottesville,VA,1592.3,38.0375,-78.4855
Chattanooga,TN,3416.6,,
Chico,CA,2750.2,,
Cincinnati,OH,2214.3,,
Clarksville,TN,2647.9,,
Cleveland,TN,3418.2,,
Cleveland-Elyria,OH,2254.7,,
Coeur d'Alene,ID,1488.7,,
College Station-Bryan,TX,2233.6,,
Colorado Springs,CO,3313.4,,
Columbia,MO,2454,,
Columbia,SC,3955.7,,
Columbus,IN,2373,,
Columbus,OH,2676.8,,
Corpus Christi,TX,3905.6,,
Crestview-Fort Walton Beach-Destin,FL,1983.1,,
Cumberland,MD,2094.9,,
Danville,IL,3783.7,,
Davenport-Moline-Rock Island,IA,2565.1,,
Dayton-Kettering,OH,2587.3,,
Decatur,IL,2720.6,,
Deltona-Daytona Beach-Ormond Beach,FL,2124.6,,
Detroit-Warren-Dearborn,MI,2199.3,,
Detroit-Dearborn-Livonia,MI,3675.4,,
Warren-Troy-Farmington Hills,MI,1202,,
Dover,DE,2658.1,,
Dubuque,IA,1274.5,42.4688,-90.8825
Duluth,MN,2874.3,,
Durham-Chapel Hill,NC,3020.8,,
East Stroudsburg,PA,1743.8,,
Eau Claire,WI,1749.5,44.7268,-91.2860
El Centro,CA,2336.7,,
Elizabethtown-Fort Knox,KY,1233.9,,
Elmira,NY,1950,,
El Paso,TX,1749.1,31.7686,-106.2348
Enid,OK,3351.8,,
Erie,PA,1896.2,41.9925,-80.0327
Eugene-Springfield,OR,2737,,
Evansville,IN,2609.7,,
Fairbanks,AK,5231.5,,
Fargo,ND,2635.2,,
Flagstaff,AZ,2910.4,,
Flint,MI,579.7,,
Florence,SC,4882.6,34.0245,-79.7030
Fond du Lac,WI,1273.2,43.7536,-88.4883
Fort Collins,CO,2112.3,,
Fort Smith,AR,3768.1,,
Fort Wayne,IN,2418.7,,
Gainesville,FL,3146.1,,
Glens Falls,NY,855.8,,
Goldsboro,NC,3154.5,,
Grand Forks,ND,2295.1,47.9219,-97.4569
Grand Island,NE,2295.2,,
Grand Junction,CO,2820.8,,
Grand Rapids-Kentwood,MI,321.5,,
Grants Pass,OR,2115,,
Great Falls,MT,4486.7,,
Greeley,CO,1848.2,,
Green Bay,WI,1324.3,,
Greensboro-High Point,NC,3226.1,,
Greenville,NC,2780.8,,
Gulfport-Biloxi,MS,3537.8,,
Hanford-Corcoran,CA,2149.2,,
Harrisonburg,VA,1292.5,38.4361,-78.8735
Hartford-East Hartford-Middletown,CT,199,,
Hilton Head Island-Bluffton,SC,1964.2,,
Homosassa Springs,FL,1643.5,,
Hot Springs,AR,524,,
Houma-Thibodaux,LA,3305.3,,
Huntington-Ashland,WV,1939.9,,
Idaho Falls,ID,1293.6,,
Iowa City,IA,1793.2,,
Ithaca,NY,1791.7,,
Jackson,MI,2519.2,42.2485,-84.4234
Jackson,TN,2959.5,36.3592,-85.6732
Jacksonville,FL,2980.1,,
Janesville-Beloit,WI,2221.2,,
Jefferson City,MO,2085.1,,
Johnson City,TN,2541.2,,
Jonesboro,AR,3636.3,,
Joplin,MO,3991,,
Kahului-Wailuku-Lahaina,HI,3244.1,,
Kalamazoo-Portage,MI,3799,,
Kankakee,IL,2309.6,41.1377,-87.8618
Kennewick-Richland,WA,2165.3,,
Killeen-Temple,TX,2074.8,,
Kingsport-Bristol,TN,2595.8,,
Kingston,NY,1240.8,,
Knoxville,TN,2480.3,,
Kokomo,IN,2557,,
La Crosse-Onalaska,WI,2181.8,,
Lafayette,LA,3349.4,30.2068,-92.0639
Lafayette-West Lafayette,IN,1921.6,,
Lake Charles,LA,4444.3,,
Lake Havasu City-Kingman,AZ,2868.8,,
Lakeland-Winter Haven,FL,1922.4,,
Lansing-East Lansing,MI,429.9,,
Laredo,TX,2137.8,,
Las Cruces,NM,2871,,
Las Vegas-Henderson-Paradise,NV,3089.8,,
Lawton,OK,3382.4,,
Lebanon,PA,1351.2,40.3672,-76.4577
Lewiston,ID,2545.4,,
Lewiston-Auburn,ME,1518.2,,
Lexington-Fayette,KY,2949.1,,
Lima,OH,2746.4,,
Lincoln,NE,2843.7,41.0477,-100.7453
Little Rock-North Little Rock-Conway,AR,782.3,,
Logan,UT,1049.8,,
Longview,TX,324.1,,
Longview,WA,2071,,
Los Angeles-Long Beach-Anaheim,CA,2618.2,,
Anaheim-Santa Ana-Irvine,CA,2074.5,,
Los Angeles-Long Beach-Glendale,CA,2790.2,,
Louisville/Jefferson County,KY,3300.8,,
Lubbock,TX,4875.3,33.6102,-101.8205
Lynchburg,VA,1686.6,37.4003,-79.1909
Macon-Bibb County,GA,3915,,
Madera,CA,2241.2,37.2180,-119.7627
Madison,WI,1932.5,,
Manchester-Nashua,NH,1534.7,,
Manhattan,KS,430.9,,
Mankato,MN,2077.1,,
Mansfield,OH,2975,,
McAllen-Edinburg-Mission,TX,2480.6,,
Memphis,TN,5173.9,,
Merced,CA,3063.7,37.1919,-120.7177
Miami-Fort Lauderdale-Pompano Beach,FL,3108.2,,
Fort Lauderdale-Pompano Beach-Deerfield Beach,FL,2921.3,,
Miami-Miami Beach-Kendall,FL,3563.2,,
West Palm Beach-Boca Raton-Boynton Beach,FL,2510.1,,
Midland,MI,938,43.6468,-84.3881
Milwaukee-Waukesha,WI,2501.8,,
Minneapolis-St. Paul-Bloomington,MN,2605.3,,
Missoula,MT,3153.2,47.0365,-113.9237
Modesto,CA,3126.1,,
Monroe,LA,4973.6,,
Morgantown,WV,1525.7,,
Morristown,TN,2437.5,,
Mount Vernon-Anacortes,WA,2614.6,,
Muskegon,MI,453.4,43.2912,-86.1520
Myrtle Beach-Conway-North Myrtle Beach,SC,3368.8,,
Napa,CA,2103.6,38.5065,-122.3305
Naples-Marco Island,FL,1357.4,,
Nashville-Davidson–Murfreesboro–Franklin,TN,3020,,
New Bern,NC,2649.8,,
New Haven-Milford,CT,2383.4,,
New Orleans-Metairie,LA,3701.4,,
Niles,MI,2727.6,,
North Port-Sarasota-Bradenton,FL,2002.4,,
Norwich-New London,CT,1521.6,,
Ocala,FL,2325.3,,
Ocean City,NJ,2260.4,,
Odessa,TX,4045,,
Ogden-Clearfield,UT,170.7,,
Oklahoma City,OK,3530.9,,
Olympia-Lacey-Tumwater,WA,2318.3,,
Omaha-Council Bluffs,NE,3059.7,,
Orlando-Kissimmee-Sanford,FL,2829.9,,
Oshkosh-Neenah,WI,1369.5,,
Owensboro,KY,2562.6,,
Oxnard-Thousand Oaks-Ventura,CA,1707.5,,
Palm Bay-Melbourne-Titusville,FL,2417.5,,
Panama City,FL,3511.1,,
Pensacola-Ferry Pass-Brent,FL,2587.4,,
Peoria,IL,2386.4,40.7880,-89.7600
Phoenix-Mesa-Chandler,AZ,426.5,,
Pine Bluff,AR,895.4,,
Pittsfield,MA,1767.2,,
Pocatello,ID,2404.8,,
Portland-South Portland,ME,1371.1,,
Portland-Vancouver-Hillsboro,OR,3049.5,,
Port St. Lucie,FL,1510.7,,
Poughkeepsie-Newburg-Middletown,NY,1297.9,,
Prescott Valley-Prescott,AZ,1615.1,,
Providence-Warwick,RI,1692.5,,
Provo-Orem,UT,1368.4,,
Pueblo,CO,3490.7,38.1735,-104.5127
Punta Gorda,FL,1326.3,,
Racine,WI,1743.6,42.7475,-88.0613
Raleigh-Cary,NC,1570.3,,
Rapid City,SD,2935.2,,
Reno,NV,2336.2,,
Richmond,VA,2388.9,37.9434,-76.7269
Riverside-San Bernardino-Ontario,CA,2701,,
Roanoke,VA,2630.3,37.2693,-80.0680
Rochester,MN,1425.3,,
Rochester,NY,1923.2,,
Rockford,IL,2795.4,,
Sacramento-Roseville-Folsom,CA,2548,,
Saginaw,MI,2066.9,43.3350,-84.0532
Salem,OR,3039.1,,
Salinas,CA,2110.7,,
Salisbury,MD,2405.7,,
Salt Lake City,UT,3700.3,,
San Angelo,TX,3207.6,,
San Antonio-New Braunfels,TX,3796.6,,
San Diego-Chula Vista-Carlsbad,CA,1992.1,,
San Francisco-Oakland-Berkeley,CA,3994.4,,
Oakland-Berkeley-Livermore,CA,3862.6,,
San Francisco-San Mateo-Redwood City,CA,4482.9,,
San Rafael,CA,2306.7,,
San Jose-Sunnyvale-Santa Clara,CA,2725.6,,
San Luis Obispo-Paso Robles,CA,2028.4,,
Santa Cruz-Watsonville,CA,2967.2,,
Santa Rosa-Petaluma,CA,1763.5,,
Scranton–Wilkes-Barre,PA,1660.6,,
Sebastian-Vero Beach,FL,1540.5,,
Sebring-Avon Park,FL,2483.3,,
Sheboygan,WI,1282.7,43.7212,-87.9454
Sherman-Denison,TX,1880.5,,
Shreveport-Bossier City,LA,4101.6,,
Sierra Vista-Douglas,AZ,2379.8,,
Sioux City,IA,3117.3,,
Sioux Falls,SD,2815.2,,
Spartanburg,SC,3248.7,34.9309,-81.9908
Spokane-Spokane Valley,WA,4227.2,,
Springfield,IL,3514.5,,
Springfield,MA,2220.4,,
Springfield,MO,4302.5,,
Springfield,OH,2901,,
State College,PA,1017.8,,
Staunton,VA,1599.7,38.1593,-79.0611
St. Cloud,MN,2227.9,,
St. George,UT,1611,,
St. Joseph,MO,4277.3,,
Stockton,CA,3624.7,,
Sumter,SC,3869.3,33.9162,-80.3822
Syracuse,NY,1956.8,,
Tallahassee,FL,3458,,
Tampa-St. Petersburg-Clearwater,FL,1977.7,,
Texarkana,TX,3104.4,,
The Villages,FL,1044.2,,
Toledo,OH,2924.6,,
Topeka,KS,492.8,,
Trenton-Princeton,NJ,1858.9,,
Tucson,AZ,3328.8,,
Tulsa,OK,3757.4,36.1211,-95.9415
Twin Falls,ID,1643.9,42.3560,-114.6672
Tyler,TX,2509.9,30.7712,-94.3766
Urban Honolulu,HI,3272.2,,
Utica-Rome,NY,1844.5,,
Vallejo,CA,3416.7,,
Victoria,TX,2923.7,28.7964,-96.9715
Vineland-Bridgeton,NJ,3127.2,,
